studentId,questionId,score,selectedAnswer
cardio1,-1024589212,1,cardiac tamponade
cardio1,-1074784610,1,aortic dissection
cardio1,-1154198561,2,"[asthma, tuberculosis, bronchiectasis, bronchitis]"
cardio1,-1178650343,1,abdominal aortic aneurysm
cardio1,-1227921966,1,chronic pancreatitis
cardio1,-1245415419,1,Chronic suppurative otitis media
cardio1,-1296951291,2,"[cystic fibrosis, bronchiectasis, lung carcinoma, tuberculosis, bronchitis]"
cardio1,-131664545,0,irritability
cardio1,-1332818599,1,avian influenza
cardio1,-1352072290,2,"[tuberculosis, lung carcinoma, cystic fibrosis, bronchiectasis]"
cardio1,-1360782023,0,Cushing syndrome
cardio1,-1386524416,1,chronic pancreatitis
cardio1,-1398748014,1,dermatomyositis
cardio1,-1494163958,1,Brugada syndrome
cardio1,-1496201995,0,atrioventricular nodal re-entry tachycardia
cardio1,-1516723926,1,stroke
cardio1,-1520310312,1,heart failure
cardio1,-1532351578,0,end stage renal disease
cardio1,-1567020152,2,"[Behçet syndrome, ulcerative colitis, Crohn disease, herpes simplex infection]"
cardio1,-157174867,1,acute coronary syndrome
cardio1,-1577639686,1,abdominal pain
cardio1,-1597385599,1,malignant hyperthermia
cardio1,-1619489304,2,"[cystic fibrosis, tuberculosis, bronchiectasis]"
cardio1,-1636317005,1,certolizumab
cardio1,-1648484617,0,bacterial meningitis in adult
cardio1,-1652628864,1,aortic valve stenosis
cardio1,-1666034507,1,atrioventricular nodal re-entry tachycardia
cardio1,-171924202,0,selegiline
cardio1,-1724628828,1,heart failure
cardio1,-1726577036,0,botulism
cardio1,-1727724244,1,pulmonary hypertension
cardio1,-1731922134,1,alteplase
cardio1,-1741358200,2,"[neoplasm metastasis, malignant lymphoma, Crohn disease, extrapulmonary tuberculosis]"
cardio1,-1744722716,2,"[erythema multiforme, herpes simplex infection, gonorrhea, hand foot and mouth disease]"
cardio1,-1772718435,1,pharyngitis
cardio1,-1785165127,1,dyspnea
cardio1,-179437985,1,megaloblastic anemia due to folate deficiency
cardio1,-1828307427,1,end stage renal disease
cardio1,-1830064399,1,pulmonary hypertension
cardio1,-1844940382,2,"[Crohn disease, ulcerative colitis, Behçet syndrome]"
cardio1,-184723155,2,"[pulmonary embolism, acute coronary syndrome, dissecting aortic aneurysm]"
cardio1,-1856866015,0,Cushing syndrome
cardio1,-187305279,1,"[bronchitis, bronchiectasis, idiopathic pulmonary fibrosis]"
cardio1,-1921063903,1,chronic pancreatitis
cardio1,-1975663834,1,"[Takotsubo cardiomyopathy, pulmonary embolism]"
cardio1,-200000447,1,atrial fibrillation
cardio1,-2002273997,0,eosinophilic esophagitis
cardio1,-2035787841,1,alpha 1-antitrypsin deficiency
cardio1,-2036982507,1,mifepristone
cardio1,-2095091475,0,adult acute diarrhea
cardio1,-2115138625,1,cortisone
cardio1,-228503150,1,altitude sickness
cardio1,-234272527,0,abnormal urine color
cardio1,-244092518,1,hypertension
cardio1,-297867117,1,sildenafil
cardio1,-306219145,2,"[pulmonary embolism, acute coronary syndrome]"
cardio1,-406621636,1,mumps
cardio1,-425916557,0,hoarseness
cardio1,-429622515,0,dopamine
cardio1,-436725357,1,tachypnea
cardio1,-489629583,1,medulloblastoma
cardio1,-497532123,1,Hashimoto disease
cardio1,-515543363,1,sepsis
cardio1,-570295292,2,"[viral meningitis, influenza, West Nile virus disease, bacterial meningitis]"
cardio1,-576250201,1,end stage renal disease
cardio1,-614797382,1,fluoroquinolone
cardio1,-655529301,0,major depressive disorder
cardio1,-664126766,1,megaloblastic anemia due to folate deficiency
cardio1,-688062151,1,pneumococcal meningitis
cardio1,-708064003,0,history of connective tissue disorder
cardio1,-763460814,2,"[pulmonary embolism, acute coronary syndrome, Takotsubo cardiomyopathy, dissecting aortic aneurysm, pericarditis]"
cardio1,-767613947,1,stroke
cardio1,-777960901,1,abnormal cardiac conduction
cardio1,-853603256,0,tenesmus
cardio1,-859144982,1,tetralogy of Fallot
cardio1,-859477240,1,Reye syndrome
cardio1,-896594432,1,aortic dissection
cardio1,-904922175,1,omeprazole
cardio1,-951273271,1,heart failure
cardio1,-962837059,1,cardiac tamponade
cardio1,-96890651,2,"[dissecting aortic aneurysm, acute coronary syndrome, pulmonary embolism, Takotsubo cardiomyopathy]"
cardio1,-976885592,0,visilizumab
cardio1,1002647121,0,rectal bleeding
cardio1,100433979,1,aortic valve stenosis
cardio1,1004418858,1,gastroesophageal reflux disease in adults
cardio1,1150579605,0,HIV infection
cardio1,1225677077,1,adenosine
cardio1,1237334192,0,hypertension
cardio1,1254062694,0,pulmonary hypertension
cardio1,1268595047,2,"[heart failure, adult asthma, gastroesophageal reflux disease]"
cardio1,1269363559,0,sepsis
cardio1,1303785478,1,ceftriaxone
